,Country,Year,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
0,Cayman Islands,2019,141.64,74.4,109.49,157.93,105.03,137.88
1,Bermuda,2019,138.22,87.62,114.03,124.87,150.4,79.87
2,Switzerland,2019,122.67,50.22,88.03,121.29,124.04,127.76
3,Norway,2019,104.49,37.26,72.34,93.94,115.59,98.0
4,Us Virgin Islands,2019,97.23,48.24,73.81,87.42,90.74,54.58
5,Iceland,2019,97.22,45.08,72.29,84.63,111.46,92.03
6,Bahamas,2019,85.96,35.4,61.79,68.84,87.2,56.21
7,Japan,2019,85.52,28.08,58.06,84.69,50.05,97.57
8,Luxembourg,2019,84.68,55.44,70.7,71.6,92.91,107.89
9,Denmark,2019,83.88,33.73,59.9,64.02,100.63,110.69
10,Barbados,2019,80.32,20.0,51.48,72.75,72.61,56.97
11,Singapore,2019,80.23,61.99,71.51,68.28,55.41,88.84
12,Israel,2019,79.54,31.49,56.56,64.86,88.75,85.96
13,Hong Kong,2019,79.21,79.72,79.46,79.4,55.62,66.79
14,Ireland,2019,76.33,43.94,60.85,58.83,84.08,90.8
15,Netherlands,2019,75.22,35.29,56.13,58.1,82.9,98.04
16,South Korea,2019,75.16,20.87,49.2,87.23,43.27,99.13
17,France,2019,74.62,26.1,51.42,67.42,75.09,87.7
18,Australia,2019,73.39,35.35,55.2,67.38,72.23,118.09
19,Belgium,2019,73.13,26.05,50.62,60.46,82.53,93.17
20,New Zealand,2019,73.01,31.44,53.13,65.05,69.93,97.59
21,Seychelles,2019,72.75,32.79,53.64,65.46,87.37,21.52
22,Finland,2019,72.18,26.31,50.25,58.18,79.39,108.78
23,Austria,2019,72.15,27.84,50.96,64.81,71.81,89.88
24,United States,2019,70.95,40.5,56.39,67.1,70.76,119.1
25,Sweden,2019,70.11,25.65,48.85,61.18,72.14,112.75
26,Italy,2019,69.02,21.6,46.35,57.45,74.72,73.43
27,Canada,2019,68.16,30.28,50.04,64.99,63.25,105.01
28,Puerto Rico,2019,66.81,18.46,43.7,65.8,54.64,93.03
29,Germany,2019,66.57,27.02,47.66,51.21,63.38,111.99
30,Malta,2019,65.43,30.14,48.55,51.11,73.53,55.34
31,United Kingdom,2019,65.33,28.69,47.81,50.44,72.54,100.46
32,United Arab Emirates,2019,63.58,45.04,54.71,50.68,62.17,100.53
33,Qatar,2019,62.22,51.18,56.94,52.6,63.93,119.33
34,Libya,2019,61.25,15.15,39.21,72.77,38.11,55.97
35,Lebanon,2019,59.74,26.2,43.7,44.09,58.13,50.7
36,Taiwan,2019,58.77,15.45,38.06,67.88,26.95,74.16
37,Cyprus,2019,58.39,20.72,40.38,45.01,63.14,67.28
38,Bahrain,2019,58.36,31.22,45.38,49.52,52.53,63.84
39,Greece,2019,56.72,11.47,35.09,42.78,55.42,48.46
40,Jamaica,2019,56.44,14.76,36.51,55.76,39.88,35.39
41,Ethiopia,2019,55.52,26.31,41.55,35.81,20.28,9.46
42,Jordan,2019,55.36,11.88,34.57,43.45,49.7,37.34
43,Costa Rica,2019,55.09,16.23,36.51,49.74,45.7,46.02
44,Uruguay,2019,54.91,15.46,36.05,43.15,53.64,39.82
45,Spain,2019,54.74,21.53,38.86,43.25,53.74,79.81
46,Zimbabwe,2019,54.72,11.51,34.06,49.94,39.57,28.66
47,Trinidad And Tobago,2019,54.17,16.5,36.16,49.87,48.9,52.83
48,Slovenia,2019,54.17,15.81,35.83,44.5,45.59,68.24
49,Palestine,2019,52.99,9.25,32.07,46.05,38.44,52.82
50,Panama,2019,52.98,24.42,39.33,50.27,47.41,38.96
51,Mauritius,2019,51.6,11.3,32.33,46.06,40.27,36.76
52,Estonia,2019,50.99,15.63,34.08,36.22,53.06,76.75
53,Portugal,2019,50.77,21.76,36.9,39.9,43.85,53.61
54,Kuwait,2019,50.33,32.98,42.03,36.73,48.05,98.33
55,Croatia,2019,50.05,12.71,32.19,40.52,42.07,57.23
56,Thailand,2019,49.86,17.13,34.21,50.08,24.83,39.87
57,Fiji,2019,49.67,19.79,35.38,54.9,36.71,33.13
58,Latvia,2019,49.55,12.04,31.62,35.72,47.73,56.55
59,Chile,2019,49.15,15.54,33.08,41.26,46.84,51.43
60,Belize,2019,49.06,10.62,30.68,40.63,39.47,71.16
61,Saudi Arabia,2019,48.71,11.55,30.94,37.98,34.17,110.93
62,Oman,2019,48.55,19.4,34.61,40.85,47.06,83.09
63,Myanmar,2019,48.06,22.96,36.06,52.6,22.19,12.68
64,Cambodia,2019,47.82,15.13,32.19,43.9,25.43,11.79
65,El Salvador,2019,47.69,15.61,32.36,46.27,36.29,28.56
66,Dominican Republic,2019,46.17,10.59,29.16,36.37,42.21,25.18
67,Nicaragua,2019,45.87,8.91,28.2,43.69,31.56,24.43
68,Czech Republic,2019,45.7,19.37,33.11,37.89,33.78,71.19
69,Lithuania,2019,45.41,12.8,29.82,35.14,43.77,60.44
70,Mozambique,2019,44.65,19.94,32.84,33.48,38.38,25.49
71,Slovakia,2019,44.65,15.86,30.88,37.68,33.94,61.83
72,Brunei,2019,44.33,23.29,34.27,37.7,35.08,94.26
73,Namibia,2019,44.1,16.87,31.08,38.92,41.18,60.16
74,South Africa,2019,43.74,17.24,31.07,34.36,41.75,81.3
75,Ghana,2019,43.11,26.61,35.22,38.33,27.8,20.69
76,Guatemala,2019,43.04,14.77,29.53,37.69,33.7,41.47
77,Brazil,2019,42.64,10.92,27.48,30.7,34.22,36.31
78,Honduras,2019,42.34,10.97,27.34,33.02,31.64,35.52
79,Ecuador,2019,41.99,11.83,27.57,36.48,31.49,40.84
80,Cuba,2019,41.73,6.31,24.79,36.25,29.71,2.67
81,Hungary,2019,41.7,13.84,28.38,31.88,34.2,53.78
82,Iran,2019,41.39,14.29,28.43,40.11,25.54,25.95
83,China,2019,40.54,17.19,29.37,41.03,29.68,63.93
84,Iraq,2019,39.84,11.11,26.1,32.7,33.92,46.41
85,Suriname,2019,39.58,8.19,24.57,44.06,33.36,24.76
86,Malaysia,2019,39.46,10.65,25.68,38.6,22.97,70.35
87,Poland,2019,39.38,15.29,27.86,30.36,32.89,66.06
88,Botswana,2019,39.37,11.43,26.01,33.28,42.56,67.57
89,Montenegro,2019,39.37,10.3,25.47,30.0,34.17,42.19
90,Kenya,2019,39.26,11.2,25.84,33.86,32.35,29.34
91,Peru,2019,38.82,12.41,26.19,33.2,26.32,37.42
92,Argentina,2019,38.72,10.38,25.17,31.32,36.43,52.01
93,Russia,2019,38.59,12.0,25.88,30.79,39.32,43.69
94,Vietnam,2019,38.17,13.34,26.3,36.97,19.98,30.22
95,Bulgaria,2019,37.37,9.45,24.02,30.75,29.71,51.0
96,Philippines,2019,36.97,8.66,23.44,33.22,20.86,27.21
97,Indonesia,2019,36.86,9.01,23.54,37.48,18.18,31.01
98,Albania,2019,36.63,8.63,23.24,28.54,28.67,32.19
99,Serbia,2019,36.3,8.75,23.13,25.96,29.87,37.94
100,Bosnia And Herzegovina,2019,36.19,6.59,22.04,28.66,24.78,46.52
101,Romania,2019,36.07,10.19,23.7,29.5,31.68,54.2
102,Turkey,2019,35.66,7.27,22.09,30.88,25.15,44.44
103,Zambia,2019,35.49,10.99,23.78,29.15,25.57,69.4
104,Tanzania,2019,35.07,14.74,25.35,29.04,24.4,20.64
105,Morocco,2019,34.59,9.29,22.49,30.3,23.94,39.4
106,Mongolia,2019,34.43,9.68,22.6,32.12,23.31,29.83
107,Mexico,2019,34.29,10.85,23.08,31.39,30.97,47.05
108,Bolivia,2019,34.07,10.62,22.86,26.75,26.64,44.74
109,Rwanda,2019,34.01,9.73,22.4,27.3,28.47,21.13
110,Paraguay,2019,33.32,9.81,22.08,26.88,27.5,35.23
111,Belarus,2019,33.02,10.32,22.17,27.78,34.27,42.92
112,Sri Lanka,2019,32.95,6.83,20.46,36.36,19.27,25.59
113,Armenia,2019,32.7,10.56,22.11,25.45,31.04,30.44
114,Moldova,2019,32.63,7.9,20.81,25.64,27.22,29.48
115,Bangladesh,2019,32.62,5.18,19.5,29.79,19.8,37.21
116,North Macedonia,2019,32.27,6.5,19.95,24.98,24.49,40.16
117,Nigeria,2019,31.75,21.59,26.89,31.48,20.66,15.91
118,Uganda,2019,31.72,10.02,21.35,26.43,24.2,22.49
119,Ukraine,2019,30.94,10.33,21.09,24.09,23.98,33.14
120,Nepal,2019,30.69,4.96,18.39,26.47,20.27,24.15
121,Algeria,2019,30.54,5.51,18.58,31.31,16.46,31.97
122,Colombia,2019,30.25,9.43,20.3,24.39,22.33,34.55
123,Kazakhstan,2019,30.06,9.51,20.24,23.55,29.88,38.65
124,Azerbaijan,2019,29.81,9.17,19.94,23.34,31.4,28.48
125,Egypt,2019,29.09,5.28,17.7,25.08,24.24,23.27
126,Kyrgyzstan,2019,28.13,8.96,18.97,25.53,22.3,25.28
127,Georgia,2019,27.78,9.3,18.94,22.01,25.97,30.23
128,Kosovo (Disputed Territory),2019,27.38,8.72,18.46,24.61,21.11,54.11
129,Venezuela,2019,27.22,6.85,17.48,29.59,22.31,2.79
130,Uzbekistan,2019,25.79,7.82,17.2,22.02,19.34,25.8
131,Tunisia,2019,25.43,5.18,15.75,23.45,14.05,37.63
132,Syria,2019,25.31,5.44,15.81,22.82,20.77,12.37
133,India,2019,25.14,5.99,15.98,25.16,17.51,61.73
134,Afghanistan,2019,24.51,4.29,14.85,18.83,17.12,28.87
135,Pakistan,2019,18.58,4.02,11.62,16.5,13.78,36.1
